Sample	Engine	FDR	Accepted
MKK18	MYRIMATCH	0.441	3792
MKK18	MYRIMATCH	0.442	3792
MKK18	MYRIMATCH	0.443	3792
MKK18	MYRIMATCH	0.444	3792
MKK18	MYRIMATCH	0.445	3806
MKK18	MYRIMATCH	0.446	3806
MKK18	MYRIMATCH	0.447	3806
MKK18	MYRIMATCH	0.448	3806
MKK18	MYRIMATCH	0.449	3806
MKK18	MYRIMATCH	0.45	3806
MKK18	MYRIMATCH	0.451	3806
MKK18	MYRIMATCH	0.452	3807
MKK18	MYRIMATCH	0.453	3807
MKK18	MYRIMATCH	0.454	3807
MKK18	MYRIMATCH	0.455	3816
MKK18	MYRIMATCH	0.456	3816
MKK18	MYRIMATCH	0.457	3816
MKK18	MYRIMATCH	0.458	3816
MKK18	MYRIMATCH	0.459	3816
MKK18	MYRIMATCH	0.46	3816
MKK18	MYRIMATCH	0.461	3816
MKK18	MYRIMATCH	0.462	3822
MKK18	MYRIMATCH	0.463	3822
MKK18	MYRIMATCH	0.464	3822
MKK18	MYRIMATCH	0.465	3822
MKK18	MYRIMATCH	0.466	3823
MKK18	MYRIMATCH	0.467	3825
MKK18	MYRIMATCH	0.468	3825
MKK18	MYRIMATCH	0.469	3825
MKK18	MYRIMATCH	0.47	3826
MKK18	MYRIMATCH	0.471	3830
MKK18	MYRIMATCH	0.472	3830
MKK18	MYRIMATCH	0.473	3830
MKK18	MYRIMATCH	0.474	3830
MKK18	MYRIMATCH	0.475	3830
MKK18	MYRIMATCH	0.476	3830
MKK18	MYRIMATCH	0.477	3831
MKK18	MYRIMATCH	0.478	3831
MKK18	MYRIMATCH	0.479	3833
MKK18	MYRIMATCH	0.48	3834
MKK18	MYRIMATCH	0.481	3834
MKK18	MYRIMATCH	0.482	3835
MKK18	MYRIMATCH	0.483	3835
MKK18	MYRIMATCH	0.484	3835
MKK18	MYRIMATCH	0.485	3835
MKK18	MYRIMATCH	0.486	3835
MKK18	MYRIMATCH	0.487	3835
MKK18	MYRIMATCH	0.488	3835
MKK18	MYRIMATCH	0.489	3835
MKK18	MYRIMATCH	0.49	3836
MKK18	MYRIMATCH	0.491	3836
MKK18	MYRIMATCH	0.492	3836
MKK18	MYRIMATCH	0.493	3836
