Sample	Engine	FDR	Accepted
MK13	COMET	0.714	10587
MK13	COMET	0.715	10712
MK13	COMET	0.716	10712
MK13	COMET	0.717	10712
MK13	COMET	0.718	10713
MK13	COMET	0.719	10713
MK13	COMET	0.72	10715
MK13	COMET	0.721	10715
MK13	COMET	0.722	10715
MK13	COMET	0.723	10731
MK13	COMET	0.724	10731
MK13	COMET	0.725	10731
MK13	COMET	0.726	10731
MK13	COMET	0.727	10731
MK13	COMET	0.728	10781
MK13	COMET	0.729	10781
MK13	COMET	0.73	10782
MK13	COMET	0.731	10785
MK13	COMET	0.732	10786
MK13	COMET	0.733	10787
MK13	COMET	0.734	10800
MK13	COMET	0.735	10800
MK13	COMET	0.736	10801
MK13	COMET	0.737	10807
MK13	COMET	0.738	10807
MK13	COMET	0.739	10807
MK13	COMET	0.74	10807
MK13	COMET	0.741	10807
MK13	COMET	0.742	10808
MK13	COMET	0.743	10808
MK13	COMET	0.744	10808
MK13	COMET	0.745	10808
MK13	COMET	0.746	10808
MK13	COMET	0.747	10808
MK13	COMET	0.748	10808
MK13	COMET	0.749	10808
MK13	COMET	0.75	11228
MK13	COMET	0.751	11228
MK13	COMET	0.752	11228
MK13	COMET	0.753	11228
MK13	COMET	0.754	11228
MK13	COMET	0.755	11228
MK13	COMET	0.756	11228
MK13	COMET	0.757	11229
MK13	COMET	0.758	11229
MK13	COMET	0.759	11232
MK13	COMET	0.76	11232
MK13	COMET	0.761	11233
MK13	COMET	0.762	11236
MK13	COMET	0.763	11236
MK13	COMET	0.764	11236
MK13	COMET	0.765	11249
MK13	COMET	0.766	11249
MK13	COMET	0.767	11250
MK13	COMET	0.768	11251
MK13	COMET	0.769	11251
MK13	COMET	0.77	11279
MK13	COMET	0.771	11280
MK13	COMET	0.772	11281
MK13	COMET	0.773	11287
MK13	COMET	0.774	11289
MK13	COMET	0.775	11291
MK13	COMET	0.776	11291
MK13	COMET	0.777	11291
MK13	COMET	0.778	11351
MK13	COMET	0.779	11351
MK13	COMET	0.78	11352
MK13	COMET	0.781	11352
MK13	COMET	0.782	11355
MK13	COMET	0.783	11359
MK13	COMET	0.784	11360
MK13	COMET	0.785	11360
MK13	COMET	0.786	11370
MK13	COMET	0.787	11370
MK13	COMET	0.788	11370
MK13	COMET	0.789	11370
MK13	COMET	0.79	11376
MK13	COMET	0.791	11376
MK13	COMET	0.792	11379
MK13	COMET	0.793	11379
MK13	COMET	0.794	11381
MK13	COMET	0.795	11381
MK13	COMET	0.796	11381
MK13	COMET	0.797	11381
MK13	COMET	0.798	11381
MK13	COMET	0.799	11381
MK13	COMET	0.8	11628
MK13	COMET	0.801	11628
MK13	COMET	0.802	11628
MK13	COMET	0.803	11628
MK13	COMET	0.804	11628
MK13	COMET	0.805	11629
MK13	COMET	0.806	11630
MK13	COMET	0.807	11631
MK13	COMET	0.808	11633
MK13	COMET	0.809	11633
MK13	COMET	0.81	11637
MK13	COMET	0.811	11637
MK13	COMET	0.812	11637
MK13	COMET	0.813	11650
MK13	COMET	0.814	11651
MK13	COMET	0.815	11651
MK13	COMET	0.816	11653
MK13	COMET	0.817	11653
MK13	COMET	0.818	11653
MK13	COMET	0.819	11686
MK13	COMET	0.82	11687
MK13	COMET	0.821	11688
MK13	COMET	0.822	11689
MK13	COMET	0.823	11689
MK13	COMET	0.824	11702
MK13	COMET	0.825	11702
MK13	COMET	0.826	11702
MK13	COMET	0.827	11705
MK13	COMET	0.828	11708
MK13	COMET	0.829	11708
MK13	COMET	0.83	11709
MK13	COMET	0.831	11709
MK13	COMET	0.832	11709
MK13	COMET	0.833	11709
MK13	COMET	0.834	11864
MK13	COMET	0.835	11864
MK13	COMET	0.836	11864
MK13	COMET	0.837	11864
MK13	COMET	0.838	11866
MK13	COMET	0.839	11866
MK13	COMET	0.84	11867
MK13	COMET	0.841	11867
MK13	COMET	0.842	11867
MK13	COMET	0.843	11871
MK13	COMET	0.844	11871
MK13	COMET	0.845	11871
MK13	COMET	0.846	11871
MK13	COMET	0.847	11892
MK13	COMET	0.848	11892
MK13	COMET	0.849	11892
MK13	COMET	0.85	11893
MK13	COMET	0.851	11893
MK13	COMET	0.852	11894
MK13	COMET	0.853	11894
MK13	COMET	0.854	11894
MK13	COMET	0.855	11894
MK13	COMET	0.856	11894
MK13	COMET	0.857	11894
MK13	COMET	0.858	12010
MK13	COMET	0.859	12010
MK13	COMET	0.86	12010
MK13	COMET	0.861	12010
MK13	COMET	0.862	12011
MK13	COMET	0.863	12013
MK13	COMET	0.864	12016
MK13	COMET	0.865	12016
MK13	COMET	0.866	12016
MK13	COMET	0.867	12031
MK13	COMET	0.868	12031
MK13	COMET	0.869	12032
MK13	COMET	0.87	12033
MK13	COMET	0.871	12035
MK13	COMET	0.872	12035
MK13	COMET	0.873	12035
MK13	COMET	0.874	12035
MK13	COMET	0.875	12105
MK13	COMET	0.876	12105
MK13	COMET	0.877	12105
MK13	COMET	0.878	12105
MK13	COMET	0.879	12105
MK13	COMET	0.88	12108
MK13	COMET	0.881	12108
MK13	COMET	0.882	12108
MK13	COMET	0.883	12118
MK13	COMET	0.884	12118
MK13	COMET	0.885	12119
MK13	COMET	0.886	12119
MK13	COMET	0.887	12119
MK13	COMET	0.888	12119
MK13	COMET	0.889	12162
MK13	COMET	0.89	12162
MK13	COMET	0.891	12162
MK13	COMET	0.892	12162
MK13	COMET	0.893	12163
MK13	COMET	0.894	12163
MK13	COMET	0.895	12167
MK13	COMET	0.896	12167
MK13	COMET	0.897	12167
MK13	COMET	0.898	12168
MK13	COMET	0.899	12168
MK13	COMET	0.9	12201
MK13	COMET	0.901	12201
MK13	COMET	0.902	12201
MK13	COMET	0.903	12201
